0,1,2,3,4,5,6,7,8
USA,Any Gender,IT,Any Job Seniority,Any Company Size,Any Age Range,recently switched jobs,connected to big companies,290000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,Any Age Range,recently switched jobs,connected to any,740000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,Any Age Range,recently relocated,connected to big companies,20000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,Any Age Range,recently relocated,connected to any,38000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,Any Age Range,recently promoted,connected to big companies,74000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,Any Age Range,recently promoted,connected to any,120000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,Any Age Range,any recent status,connected to big companies,3000000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,Any Age Range,any recent status,connected to any,12000000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,55+,recently switched jobs,connected to big companies,19000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,55+,recently switched jobs,connected to any,47000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,55+,recently relocated,connected to big companies,940
USA,Any Gender,IT,Any Job Seniority,Any Company Size,55+,recently relocated,connected to any,1600
USA,Any Gender,IT,Any Job Seniority,Any Company Size,55+,recently promoted,connected to big companies,3000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,55+,recently promoted,connected to any,5100
USA,Any Gender,IT,Any Job Seniority,Any Company Size,55+,any recent status,connected to big companies,290000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,55+,any recent status,connected to any,920000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,35 to 54,recently switched jobs,connected to big companies,130000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,35 to 54,recently switched jobs,connected to any,280000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,35 to 54,recently relocated,connected to big companies,7600
USA,Any Gender,IT,Any Job Seniority,Any Company Size,35 to 54,recently relocated,connected to any,12000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,35 to 54,recently promoted,connected to big companies,31000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,35 to 54,recently promoted,connected to any,46000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,35 to 54,any recent status,connected to big companies,1500000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,35 to 54,any recent status,connected to any,4500000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,25 to 34,recently switched jobs,connected to big companies,110000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,25 to 34,recently switched jobs,connected to any,320000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,25 to 34,recently relocated,connected to big companies,8900
USA,Any Gender,IT,Any Job Seniority,Any Company Size,25 to 34,recently relocated,connected to any,18000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,25 to 34,recently promoted,connected to big companies,32000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,25 to 34,recently promoted,connected to any,53000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,25 to 34,any recent status,connected to big companies,980000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,25 to 34,any recent status,connected to any,5700000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,18 to 24,recently switched jobs,connected to big companies,28000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,18 to 24,recently switched jobs,connected to any,85000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,18 to 24,recently relocated,connected to big companies,2400
USA,Any Gender,IT,Any Job Seniority,Any Company Size,18 to 24,recently relocated,connected to any,6500
USA,Any Gender,IT,Any Job Seniority,Any Company Size,18 to 24,recently promoted,connected to big companies,7700
USA,Any Gender,IT,Any Job Seniority,Any Company Size,18 to 24,recently promoted,connected to any,16000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,18 to 24,any recent status,connected to big companies,220000
USA,Any Gender,IT,Any Job Seniority,Any Company Size,18 to 24,any recent status,connected to any,1300000
